state,symbol,year,perCapitaIncome
Wisconsin,WI,2016,"$54,868.50 "
Wyoming,WY,2016,"$61,142.00 "
Alabama,AL,2017,"$40,242.75 "
Alaska,AK,2017,"$57,298.50 "
Arizona,AZ,2017,"$43,281.50 "
Arkansas,AR,2017,"$42,055.50 "
California,CA,2017,"$58,818.00 "
Colorado,CO,2017,"$55,276.50 "
Connecticut,CT,2017,"$70,142.25 "
Delaware,DE,2017,"$50,497.00 "
Florida,FL,2017,"$49,026.75 "
Georgia,GA,2017,"$44,991.50 "
Hawaii ,HI,2017,"$51,043.25 "
Idaho,ID,2017,"$41,561.25 "
Illinois,IL,2017,"$53,643.75 "
Indiana,IN,2017,"$45,100.00 "
Iowa,IA,2017,"$47,287.75 "
Kansas,KS,2017,"$48,741.00 "
Kentucky,KY,2017,"$40,772.75 "
Louisiana,LA,2017,"$44,069.25 "
Maine,ME,2017,"$46,409.00 "
Maryland,MD,2017,"$59,180.75 "
Massachusetts,MA,2017,"$66,632.00 "
Michigan,MI,2017,"$45,648.25 "
Minnesota,MN,2017,"$54,315.00 "
Mississippi,MS,2017,"$36,913.25 "
Missouri,MO,2017,"$45,374.50 "
Montana,MT,2017,"$46,114.25 "
Nebraska,NE,2017,"$50,202.50 "
Nevada,NV,2017,"$47,519.25 "
New Hampshire,NH,2017,"$62,393.50 "
New Jersey,NJ,2017,"$39,426.75 "
New Mexico,NM,2017,"$63,036.00 "
New York,NY,2017,"$44,520.50 "
North Carolina,NC,2017,"$52,426.25 "
North Dakota,ND,2017,"$46,708.75 "
Ohio,OH,2017,"$44,430.50 "
Oklahoma,OK,2017,"$47,999.75 "
Oregon,OR,2017,"$52,486.00 "
Pennsylvania,PA,2017,"$50,940.25 "
Rhode Island,RI,2017,"$42,810.00 "
South Carolina,SC,2017,"$50,375.25 "
South Dakota,SD,2017,"$44,961.25 "
Tennessee,TN,2017,"$49,226.00 "
Texas,TX,2017,"$43,406.50 "
Utah,UT,2017,"$50,714.00 "
Vermont,VT,2017,"$54,978.50 "
Virginia,VA,2017,"$57,260.75 "
Washington,WA,2017,"$39,162.00 "
West Virginia,WV,2017,"$48,736.25 "
Wisconsin,WI,2017,"$57,066.75 "
Wyoming,WY,2017,"$63,104.00 "
Alabama,AL,2018,"$41,598.50 "
Alaska,AK,2018,"$59,765.00 "
Arizona,AZ,2018,"$45,280.75 "
Arkansas,AR,2018,"$43,655.00 "
California,CA,2018,"$61,518.50 "
Colorado,CO,2018,"$58,486.00 "
Connecticut,CT,2018,"$73,186.00 "
Delaware,DE,2018,"$52,823.50 "
Florida,FL,2018,"$51,443.50 "
Georgia,GA,2018,"$46,813.75 "
Hawaii ,HI,2018,"$52,187.50 "
Idaho,ID,2018,"$43,334.25 "
Illinois,IL,2018,"$56,506.75 "
Indiana,IN,2018,"$47,098.25 "
Iowa,IA,2018,"$49,199.25 "
Kansas,KS,2018,"$50,809.25 "
Kentucky,KY,2018,"$41,974.25 "
Louisiana,LA,2018,"$46,052.75 "
Maine,ME,2018,"$48,207.50 "
Maryland,MD,2018,"$60,622.50 "
Massachusetts,MA,2018,"$69,525.25 "
Michigan,MI,2018,"$47,315.50 "
Minnesota,MN,2018,"$56,571.50 "
Mississippi,MS,2018,"$37,917.25 "
Missouri,MO,2018,"$47,224.50 "
Montana,MT,2018,"$47,799.25 "
Nebraska,NE,2018,"$52,021.25 "
Nevada,NV,2018,"$49,723.50 "
New Hampshire,NH,2018,"$64,751.75 "
New Jersey,NJ,2018,"$41,123.50 "
New Mexico,NM,2018,"$65,100.00 "
New York,NY,2018,"$46,268.00 "
North Carolina,NC,2018,"$55,501.50 "
North Dakota,ND,2018,"$48,431.50 "
Ohio,OH,2018,"$46,457.00 "
Oklahoma,OK,2018,"$50,534.25 "
Oregon,OR,2018,"$55,189.25 "
Pennsylvania,PA,2018,"$52,567.50 "
Rhode Island,RI,2018,"$44,317.00 "
South Carolina,SC,2018,"$52,566.75 "
South Dakota,SD,2018,"$47,009.75 "
Tennessee,TN,2018,"$52,003.75 "
Texas,TX,2018,"$46,002.00 "
Utah,UT,2018,"$52,190.00 "
Vermont,VT,2018,"$56,725.25 "
Virginia,VA,2018,"$60,180.50 "
Washington,WA,2018,"$41,291.00 "
West Virginia,WV,2018,"$50,813.00 "
Wisconsin,WI,2018,"$60,320.50 "
Wyoming,WY,2018,"$65,742.00 "
Alabama,AL,2019,"$43,148.25 "
Alaska,AK,2019,"$61,622.00 "
Arizona,AZ,2019,"$47,225.25 "
Arkansas,AR,2019,"$45,024.75 "
California,CA,2019,"$64,327.75 "
Colorado,CO,2019,"$61,089.25 "
Connecticut,CT,2019,"$74,910.00 "
Delaware,DE,2019,"$53,519.00 "
Florida,FL,2019,"$53,355.25 "
Georgia,GA,2019,"$48,699.75 "
Hawaii ,HI,2019,"$53,874.00 "
Idaho,ID,2019,"$45,246.75 "
Illinois,IL,2019,"$58,270.50 "
Indiana,IN,2019,"$48,754.00 "
Iowa,IA,2019,"$50,148.00 "
Kansas,KS,2019,"$52,804.50 "
Kentucky,KY,2019,"$43,624.00 "
Louisiana,LA,2019,"$47,603.25 "
Maine,ME,2019,"$49,979.50 "
Maryland,MD,2019,"$61,876.25 "
Massachusetts,MA,2019,"$72,197.75 "
Michigan,MI,2019,"$48,818.00 "
