zip,primary_city,state,county,latitude,longitude,irs_estimated_population
38334,Finger,TN,McNairy County,35.35,-88.61,1550
38336,Fruitvale,TN,Crockett County,35.72,-89.06,0
38337,Gadsden,TN,Crockett County,35.79,-89.01,1180
38338,Gibson,TN,Gibson County,35.87,-88.84,352
38339,Guys,TN,McNairy County,35.05,-88.52,610
38340,Henderson,TN,Chester County,35.44,-88.64,10200
38341,Holladay,TN,Benton County,35.89,-88.07,1680
38342,Hollow Rock,TN,Carroll County,36.03,-88.27,1080
38343,Humboldt,TN,Gibson County,35.82,-88.9,13010
38344,Huntingdon,TN,Carroll County,36,-88.41,7260
38345,Huron,TN,Henderson County,35.58,-88.5,1680
38346,Idlewild,TN,Gibson County,35.98,-88.77,67
38347,Jacks Creek,TN,Chester County,35.48,-88.5,360
38348,Lavinia,TN,Carroll County,35.86,-88.64,730
38351,Lexington,TN,Henderson County,35.65,-88.39,14930
38352,Luray,TN,Chester County,35.53,-88.53,510
38355,Medina,TN,Gibson County,35.8,-88.77,6960
38356,Medon,TN,Madison County,35.45,-88.86,1960
38357,Michie,TN,McNairy County,35.06,-88.42,2310
38358,Milan,TN,Gibson County,35.91,-88.75,9980
38359,Milledgeville,TN,McNairy County,35.37,-88.36,220
38361,Morris Chapel,TN,Hardin County,35.31,-88.35,770
38362,Oakfield,TN,Madison County,35.73,-88.78,1190
38363,Parsons,TN,Decatur County,35.65,-88.12,4360
38365,Pickwick Dam,TN,Hardin County,35.05,-88.23,245
38366,Pinson,TN,Madison County,35.47,-88.73,1900
38367,Ramer,TN,McNairy County,35.07,-88.61,2110
38368,Reagan,TN,Henderson County,35.51,-88.35,1590
38369,Rutherford,TN,Gibson County,36.12,-88.99,1490
38370,Saltillo,TN,Hardin County,35.37,-88.21,470
38371,Sardis,TN,Henderson County,35.44,-88.29,1030
38372,Savannah,TN,Hardin County,35.22,-88.23,14120
38374,Scotts Hill,TN,Henderson County,35.51,-88.23,1570
38375,Selmer,TN,McNairy County,35.17,-88.59,7180
38376,Shiloh,TN,Hardin County,35.11,-88.36,230
38377,Silerton,TN,Hardeman County,35.34,-88.8,0
38378,Spring Creek,TN,Madison County,35.76,-88.68,107
38379,Stantonville,TN,McNairy County,35.15,-88.42,1030
38380,Sugar Tree,TN,Decatur County,35.79,-88.02,380
38381,Toone,TN,Hardeman County,35.35,-88.95,1200
38382,Trenton,TN,Gibson County,35.97,-88.93,7440
38387,Westport,TN,Carroll County,35.88,-88.29,340
38388,Wildersville,TN,Henderson County,35.78,-88.36,1310
38389,Yorkville,TN,Gibson County,36.09,-89.11,163
38390,Yuma,TN,Carroll County,35.86,-88.37,810
38391,Denmark,TN,Madison County,35.54,-88.97,1030
38392,Mercer,TN,Madison County,35.48,-89.03,610
38393,Chewalla,TN,McNairy County,35.02,-88.67,0
38401,Columbia,TN,Maury County,35.62,-87.04,53080
38402,Columbia,TN,Maury County,35.62,-87.04,1092
38425,Clifton,TN,Wayne County,35.38,-87.99,1410
38449,Ardmore,TN,Giles County,35.04,-86.82,2700
38450,Collinwood,TN,Wayne County,35.17,-87.74,2010
38451,Culleoka,TN,Maury County,35.46,-86.99,4720
38452,Cypress Inn,TN,Wayne County,35.05,-87.79,740
38453,Dellrose,TN,Lincoln County,35.11,-86.8,370
38454,Duck River,TN,Hickman County,35.71,-87.35,890
38455,Elkton,TN,Giles County,35.04,-86.89,428
38456,Ethridge,TN,Lawrence County,35.32,-87.3,3010
38457,Five Points,TN,Lawrence County,35.03,-87.28,630
38459,Frankewing,TN,Lincoln County,35.19,-86.8,380
38460,Goodspring,TN,Giles County,35.12,-87.14,1170
38461,Hampshire,TN,Maury County,35.58,-87.35,1310
38462,Hohenwald,TN,Lewis County,35.55,-87.55,8560
38463,Iron City,TN,Wayne County,35.02,-87.58,2220
38464,Lawrenceburg,TN,Lawrence County,35.24,-87.33,18770
38468,Leoma,TN,Lawrence County,35.12,-87.3,4590
38469,Loretto,TN,Lawrence County,35.08,-87.43,3560
38471,Lutts,TN,Wayne County,35.11,-87.9,370
38472,Lynnville,TN,Giles County,35.37,-87,2390
38473,Minor Hill,TN,Giles County,35.03,-87.17,890
38474,Mount Pleasant,TN,Maury County,35.55,-87.19,7010
38475,Olivehill,TN,Hardin County,35.26,-88.04,600
38476,Primm Springs,TN,Williamson County,35.8,-87.25,1120
38477,Prospect,TN,Giles County,35.05,-87,2130
38478,Pulaski,TN,Giles County,35.19,-87.03,14650
38481,Saint Joseph,TN,Lawrence County,35.03,-87.49,750
38482,Santa Fe,TN,Maury County,35.75,-87.16,1640
38483,Summertown,TN,Lawrence County,35.43,-87.33,5030
38485,Waynesboro,TN,Wayne County,35.32,-87.75,4940
38486,Westpoint,TN,Lawrence County,35.15,-87.53,820
38487,Williamsport,TN,Maury County,35.72,-87.23,960
38488,Taft,TN,Lincoln County,35.05,-86.68,2150
38501,Cookeville,TN,Putnam County,36.15,-85.5,29500
38502,Cookeville,TN,Putnam County,36.15,-85.5,1019
38503,Cookeville,TN,Putnam County,36.15,-85.5,1395
38504,Allardt,TN,Fentress County,36.38,-84.88,1050
38505,Cookeville,TN,Putnam County,36.18,-85.51,71
38506,Cookeville,TN,Putnam County,36.19,-85.43,25610
38541,Allons,TN,Overton County,36.51,-85.32,1340
38542,Allred,TN,Overton County,36.32,-85.2,31
38543,Alpine,TN,Overton County,36.36,-85.14,420
38544,Baxter,TN,Putnam County,36.15,-85.63,6260
38545,Bloomington Springs,TN,Jackson County,36.22,-85.66,1070
38547,Brush Creek,TN,Smith County,36.11,-86.01,1910
38548,Buffalo Valley,TN,Putnam County,36.18,-85.75,660
38549,Byrdstown,TN,Pickett County,36.57,-85.13,3030
38550,Campaign,TN,Warren County,35.76,-85.64,56
38551,Celina,TN,Clay County,36.54,-85.5,3060
38552,Chestnut Mound,TN,Smith County,36.22,-85.81,340
38553,Clarkrange,TN,Fentress County,36.21,-84.96,2080
38554,Crawford,TN,Overton County,36.24,-85.18,670
38555,Crossville,TN,Cumberland County,35.95,-85.03,15370
38556,Jamestown,TN,Fentress County,36.43,-84.93,9280
38557,Crossville,TN,Cumberland County,35.95,-85.03,1851
38558,Crossville,TN,Cumberland County,36.01,-84.87,8380
38559,Doyle,TN,White County,35.85,-85.51,1000
38560,Elmwood,TN,Smith County,36.24,-85.88,1150
38562,Gainesboro,TN,Jackson County,36.36,-85.65,4780
38563,Gordonsville,TN,Smith County,36.18,-85.93,2310
38564,Granville,TN,Jackson County,36.27,-85.74,440
38565,Grimsley,TN,Fentress County,36.25,-85.03,990
38567,Hickman,TN,Smith County,36.1,-85.9,760
38568,Hilham,TN,Overton County,36.44,-85.47,1670
38569,Lancaster,TN,Smith County,36.09,-85.85,310
38570,Livingston,TN,Overton County,36.38,-85.32,7750
38571,Crossville,TN,Cumberland County,36.05,-85.01,11450
38572,Crossville,TN,Cumberland County,35.85,-85.13,10090
38573,Monroe,TN,Overton County,36.45,-85.2,1770
38574,Monterey,TN,Putnam County,36.13,-85.24,6960
38575,Moss,TN,Clay County,36.59,-85.68,890
38577,Pall Mall,TN,Pickett County,36.56,-84.95,870
38578,Pleasant Hill,TN,Cumberland County,35.98,-85.2,698
38579,Quebeck,TN,White County,35.84,-85.55,860
38580,Rickman,TN,Overton County,36.29,-85.3,1830
38581,Rock Island,TN,Warren County,35.71,-85.6,3540
38582,Silver Point,TN,Putnam County,36.09,-85.76,1160
38583,Sparta,TN,White County,35.93,-85.47,20500
38585,Spencer,TN,Van Buren County,35.74,-85.45,3370
38587,Walling,TN,White County,35.85,-85.62,1160
38588,Whitleyville,TN,Jackson County,36.48,-85.7,850
38589,Wilder,TN,Overton County,36.26,-85.08,93
38601,Abbeville,MS,Lafayette County,34.5,-89.5,1960
38602,Arkabutla,MS,Tate County,34.7,-90.13,195
38603,Ashland,MS,Benton County,34.83,-89.17,2090
38606,Batesville,MS,Panola County,34.31,-89.93,13920
38609,Marks,MS,Quitman County,34.26,-90.35,52
38610,Blue Mountain,MS,Tippah County,34.67,-89.02,2670
38611,Byhalia,MS,Marshall County,34.86,-89.68,14570
38614,Clarksdale,MS,Coahoma County,34.2,-90.57,13940
38617,Coahoma,MS,Coahoma County,34.36,-90.52,550
38618,Coldwater,MS,Tate County,34.69,-89.97,10150
38619,Como,MS,Panola County,34.51,-89.94,3930
38620,Courtland,MS,Panola County,34.24,-89.94,3000
38621,Crenshaw,MS,Panola County,34.5,-90.19,1070
38622,Crowder,MS,Quitman County,34.17,-90.13,631
38623,Darling,MS,Quitman County,34.35,-90.26,334
38625,Dumas,MS,Tippah County,34.63,-88.83,910
38626,Dundee,MS,Tunica County,34.51,-90.45,780
38627,Etta,MS,Union County,34.46,-89.2,1080
38628,Sledge,MS,Quitman County,34.39,-90.25,57
38629,Falkner,MS,Tippah County,34.84,-88.93,1400
38630,Farrell,MS,Coahoma County,34.28,-90.69,186
38631,Friars Point,MS,Coahoma County,34.36,-90.63,1393
38632,Hernando,MS,DeSoto County,34.82,-89.98,26790
38633,Hickory Flat,MS,Benton County,34.61,-89.18,1920
38634,Holly Springs,MS,Marshall County,34.77,-89.44,609
38635,Holly Springs,MS,Marshall County,34.77,-89.44,11120
38637,Horn Lake,MS,DeSoto County,34.95,-90.03,23390
38638,Independence,MS,Tate County,34.7,-89.8,188
38639,Jonestown,MS,Coahoma County,34.3,-90.43,1462
38641,Lake Cormorant,MS,DeSoto County,34.9,-90.21,2210
38642,Lamar,MS,Benton County,34.91,-89.31,2010
38643,Lambert,MS,Quitman County,34.2,-90.28,1570
38644,Lula,MS,Coahoma County,34.46,-90.49,414
38645,Lyon,MS,Coahoma County,34.21,-90.54,1110
38646,Marks,MS,Quitman County,34.25,-90.27,2170
38647,Michigan City,MS,Benton County,34.98,-89.25,870
38649,Mount Pleasant,MS,Marshall County,34.93,-89.53,63
38650,Myrtle,MS,Union County,34.55,-89.11,3420
38651,Nesbit,MS,DeSoto County,34.89,-90.02,8000
38652,New Albany,MS,Union County,34.49,-89.02,14900
38654,Olive Branch,MS,DeSoto County,34.95,-89.82,51630
38655,Oxford,MS,Lafayette County,34.35,-89.52,32350
38658,Pope,MS,Panola County,34.21,-89.94,1990
38659,Potts Camp,MS,Marshall County,34.64,-89.3,2250
38661,Red Banks,MS,Marshall County,34.9,-89.56,1520
38663,Ripley,MS,Tippah County,34.72,-88.94,9790
38664,Robinsonville,MS,Tunica County,34.81,-90.31,2430
38665,Sarah,MS,Tate County,34.59,-90.17,2150
38666,Sardis,MS,Panola County,34.43,-89.91,5390
38668,Senatobia,MS,Tate County,34.61,-89.97,11730
38669,Sherard,MS,Coahoma County,34.21,-90.71,70
38670,Sledge,MS,Quitman County,34.43,-90.22,880
38671,Southaven,MS,DeSoto County,34.97,-89.99,32510
38672,Southaven,MS,DeSoto County,34.91,-89.93,14450
38673,Taylor,MS,Lafayette County,34.27,-89.58,1080
38674,Tiplersville,MS,Tippah County,34.9,-88.92,800
38675,Memphis Stc,MS,Lafayette County,34.23,-89.36,0
38676,Tunica,MS,Tunica County,34.68,-90.38,5270
38677,University,MS,Lafayette County,34.37,-89.54,1133
38679,Victoria,MS,Marshall County,34.83,-89.59,509
38680,Walls,MS,DeSoto County,34.95,-90.13,5870
38683,Walnut,MS,Tippah County,34.94,-88.9,3900
38685,Waterford,MS,Marshall County,34.63,-89.46,1080
38686,Walls,MS,Desoto County,34.95,-90.13,0
38701,Greenville,MS,Washington County,33.38,-91.05,16660
38702,Greenville,MS,Bolivar County,33.54,-91.18,954
38703,Greenville,MS,Washington County,33.48,-91.05,10090
38704,Greenville,MS,Issaquena County,33.01,-91.02,1370
38720,Alligator,MS,Coahoma County,34.11,-90.78,380
38721,Anguilla,MS,Sharkey County,32.97,-90.82,860
38722,Arcola,MS,Washington County,33.27,-90.88,588
38723,Avon,MS,Washington County,33.23,-91.04,428
38725,Benoit,MS,Bolivar County,33.65,-91,630
38726,Beulah,MS,Bolivar County,33.79,-90.98,330
38730,Boyle,MS,Bolivar County,33.7,-90.72,1510
38731,Chatham,MS,Washington County,33.07,-91.05,107
38732,Cleveland,MS,Bolivar County,33.74,-90.72,13470
38733,Cleveland,MS,Bolivar County,33.74,-90.72,72
38736,Doddsville,MS,Sunflower County,33.65,-90.52,410
38737,Drew,MS,Sunflower County,33.8,-90.53,2080
38738,Parchman,MS,Sunflower County,33.95,-90.53,147
38739,Dublin,MS,Coahoma County,34.08,-90.5,196
38740,Duncan,MS,Bolivar County,34.04,-90.74,330
38744,Glen Allan,MS,Washington County,33.03,-91.01,610
38745,Grace,MS,Issaquena County,32.97,-90.99,223
38746,Gunnison,MS,Bolivar County,33.94,-90.94,410
38748,Hollandale,MS,Washington County,33.17,-90.85,2830
38749,Indianola,MS,Sunflower County,33.45,-90.75,0
38751,Indianola,MS,Sunflower County,33.44,-90.64,9040
38753,Inverness,MS,Sunflower County,33.35,-90.59,1040
38754,Isola,MS,Humphreys County,33.26,-90.59,1030
38756,Leland,MS,Washington County,33.4,-90.89,5040
38759,Merigold,MS,Bolivar County,33.83,-90.72,1160
38760,Metcalfe,MS,Washington County,33.45,-91,846
38761,Moorhead,MS,Sunflower County,33.44,-90.5,1530
38762,Mound Bayou,MS,Bolivar County,33.88,-90.72,1560
